,2016_2017_total ,2016_2017_tuition_&_fees ,2017_18_total,2017_18_tuition_&_fees,2017_18_room,2017_18_board
United States,41465,29476,43139,30731,6967,5441
Alabama,24710,15422,26164,16321,4818,5025
Alaska,26297,19052,26887,19360,3598,3929
Arizona,22559,13140,22939,13487,5125,4327
Arkansas,29804,21710,30828,22610,4175,4043
California,44710,31484,47410,33483,7813,6113
Colorado,34337,22627,35152,22873,7188,5092
Connecticut,53198,38975,54819,40410,8227,6182
Delaware,25996,14383,26928,15096,5911,5920
District of Columbia,55669,40618,57611,41775,10288,5547
Florida,35876,24360,37336,25531,6720,5084
Georgia,39110,27213,40414,27813,6869,5731
Hawaii,28370,15937,28858,16447,5693,6718
Idaho,13010,5925,13488,5833,3275,4380
Illinois,43382,31298,45046,32491,7264,5290
Indiana,41852,30928,43764,32338,6029,5397
Iowa,35780,26742,37380,27991,4584,4805
Kansas,28653,20198,30240,21316,4319,4604
Kentucky,34895,25846,35948,26719,4673,4556
Louisiana,47557,35190,49452,36715,7031,5706
Maine,48107,35547,49994,37043,6533,6418
Maryland,53775,40209,55685,41859,8036,5790
Massachusetts,57363,42655,59559,44384,8835,6340
Michigan,33498,24058,36664,26964,4949,4751
Minnesota,40939,30925,42716,32416,5377,4923
Mississippi,24698,16949,25774,17625,4255,3895
Missouri,33433,23702,34623,24615,5700,4308
Montana,32375,23657,33739,24953,4161,4625
Nebraska,32201,23110,34598,23659,4716,6223
Nevada,35053,21423,36163,23261,6345,6557
New Hampshire,46533,33235,47030,33322,8620,5089
New Jersey,48439,35224,50321,36589,8064,5668
New Mexico,32373,22535,33620,23865,5655,4100
New York,51791,37581,53659,39007,8865,5788
North Carolina,42312,30701,44050,32140,6162,5747
North Dakota,20964,14290,22511,15256,3077,4178
Ohio,40975,30291,42254,31242,5742,5270
Oklahoma,33883,24776,35542,26240,4596,4706
Oregon,48658,37053,50617,38674,6266,5677
Pennsylvania,52134,39187,53239,40068,7271,5900
Rhode Island,52874,38855,54877,40361,8776,5740
South Carolina,33748,24523,34421,24931,4804,4686
South Dakota,30924,23146,32157,24219,3943,3995
Tennessee,35928,25984,37162,26939,5772,4451
Texas,41980,31010,43866,32482,6368,5016
Utah,15208,7441,15389,7548,3946,3894
Vermont,54015,41068,56172,42637,7431,6105
Virginia,32614,22284,33658,23014,5664,4980
Washington,46667,35213,48518,36807,6208,5503
West Virginia,20898,12206,21300,12341,4316,4643
Wisconsin,41503,31662,43332,33156,5869,4307
Wyoming,,18021,,,,
